idInterno;codigoExterno;clase;grupo;producto;tiene_HS;score;motivo;archivo_HS
PT0002;150;PT;PT_COMERCIAL;CALFERZINC P;SI;1.0;coincidencia exacta;HOJA DE SEGURIDAD - CALFERZINC-P.docx
PT0003;663;PT;PT_COMERCIAL;FE FERTIMENORES;SI;1.0;keywords:2/2;Hoja de Seguridad Fertimenores FE.docx
PT0005;643;PT;PT_COMERCIAL;FE SULFATO ZINC 22;SI;1.0;keywords:1/1;HS Sulfato Zinc22 FE.docx
PT0006;300;PT;PT_COMERCIAL;K2K;SI;1.0;coincidencia exacta;HOJA DE SEGURIDAD - K2K.docx
PT0007;154;PT;PT_COMERCIAL;MAGNE 3;SI;1.0;coincidencia exacta;HOJA DE SEGURIDAD -  MAGNE 3.docx
PT0254;164;PT;PT_COMERCIAL;MICRON C;SI;1.0;coincidencia exacta;HOJA DE SEGURIDAD - MICRON CS.docx
PT0255;188;PT;PT_COMERCIAL;MICRON CS;SI;1.0;coincidencia exacta;HOJA DE SEGURIDAD - MICRON CS.docx
PT0256;65;PT;PT_COMERCIAL;NUCLEO 4;SI;1.0;coincidencia exacta;Hoja de Seguridad Nucleo 4.docx
PT0258;563;PT;PT_COMERCIAL;NUCLEO CAMASI YARA;SI;1.0;coincidencia exacta;HS DE NÚCLEO CAMASI YARA.docx
PT0260;679;PT;PT_COMERCIAL;NUCLEO FOSFORO 10;SI;1.0;keywords:1/1;HOJA DE SEGURIDAD -NUCLEO FOSFORO.docx
PT0265;155;PT;PT_COMERCIAL;RAIFOS 20;SI;1.0;coincidencia exacta;Hoja de Seguridad RaiFOS 20.docx
PT0268;160;PT;PT_COMERCIAL;ZUELO CA;SI;1.0;keywords:2/2;1.109.06_HOJA SEGURIDAD ZUELOCa.docx
PT0277;PT0277;PT;PT_COMERCIAL;NUCLEO FOSFORO 1 - 1;SI;1.0;keywords:1/1;HOJA DE SEGURIDAD -NUCLEO FOSFORO.docx
PT0278;PT0278;PT;PT_COMERCIAL;NUCLEO FOSFORO 1 - 2;SI;1.0;keywords:1/1;HOJA DE SEGURIDAD -NUCLEO FOSFORO.docx
PT0280;PT0280;PT;PT_COMERCIAL;CALFER FLORACION;SI;1.0;coincidencia exacta;Hoja de Seguridad CALFER FLORACIÓN.docx
PT0281;PT0281;PT;PT_COMERCIAL;CALFER LLENADO;SI;1.0;coincidencia exacta;1.103.10_4_Hoja de Seguridad CALFER LLENADO.docx
PT0282;PT0282;PT;PT_COMERCIAL;CALFER MENORES;SI;1.0;coincidencia exacta;1.104.09_4_Hoja de Seguridad CALFER MENORES.docx
PT0283;PT0283;PT;PT_COMERCIAL;SOLURAIFOS;SI;1.0;coincidencia exacta;Hoja de Seguridad SOLURaiFOS.docx
PT0284;PT0284;PT;PT_COMERCIAL;SULFA K 50;SI;1.0;coincidencia exacta;Hoja de Seguridad SULFA K 50.docx
PT0286;PT0286;PT;PT_COMERCIAL;CALFER DESARROLLO;SI;1.0;coincidencia exacta;4-C_ Hoja de Seguridad CALFER DESARROLLO.docx
PT0289;PT0289;PT;PT_COMERCIAL;FOLLAJE;SI;1.0;coincidencia exacta;Hoja de Seguridad FOLLAJE.docx
PT0290;PT0290;PT;PT_COMERCIAL;GANADERO;SI;1.0;coincidencia exacta;Hoja de Seguridad GANADERO.docx
PT0292;PT0292;PT;PT_COMERCIAL;CALFERCORRECTIVO;SI;1.0;coincidencia exacta;04_Hoja de Seguridad CALFERCORRECTIVO.docx
PT0293;PT0293;PT;PT_COMERCIAL;NUCLEO N;SI;1.0;coincidencia exacta;Hoja de Seguridad Nucleo N.docx
PT0297;PT0297;PT;PT_COMERCIAL;ZUELO CA P;SI;1.0;keywords:2/2;1.109.06_HOJA SEGURIDAD ZUELOCa.docx
PT0298;PT0298;PT;PT_COMERCIAL;FERTIMENORES;SI;1.0;coincidencia exacta;HOJA DE SEGURIDAD - FERTIMENORES.docx
