RVF,Producto,Fecha_Vigencia,Clasificacion,Fuentes,Aditivos_Inertes,Limites_Microbiologicos,Composicion_Completa,Nitrógeno Total (N),Nitrógeno Amoniacal (N),Nitrógeno Nítrico (N),Nitrógeno Ureico (N),Nitrógeno Orgánico (N),Fósforo Total (P₂O₅),Fósforo Total (P₂O₅)*,Fósforo Asimilable (P₂O₅),Fósforo Soluble en Agua (P₂O₅),Fósforo de Lenta Asimilación (P₂O₅)***,Potasio Total (K₂O),Potasio Soluble en Agua (K₂O),Calcio Total (CaO),Calcio Total (CaO)*,Calcio Total (CaO)***,Calcio Soluble en Agua (CaO),Calcio Soluble en Agua (CaO)***,Calcio Soluble en HCl (CaO),Magnesio Total (MgO),Magnesio Total (MgO)*,Magnesio Soluble en Agua (MgO),Magnesio Soluble en Agua (MgO)*,Magnesio Soluble en HCl (MgO),Magnesio (MgO),Azufre Total (S),Azufre Soluble en Agua (S),Azufre (S),Boro Soluble en Agua (B),Boro (B),Cobalto Soluble en Agua (Co),Cobalto Soluble en Agua (Co)*,Cobre Total (Cu),Cobre Soluble en Agua (Cu),Cobre Soluble en Agua (Cu)*,Hierro Soluble en Agua (Fe),Hierro Soluble en Agua (Fe)*,Manganeso Soluble en Agua (Mn),Manganeso Soluble en Agua (Mn)*,Molibdeno Soluble en Agua (Mo),Zinc Soluble en Agua (Zn),Zinc Soluble en Agua (Zn)*,Zinc (Zn),Silicio Total (SiO₂),Silicio Total (SiO₂)*,Silicio Total (SiO₂)***,Sílice Total (SiO₂),Silicio Soluble en Agua (SiO₂),Silicio Soluble en Agua (SiO₂)***,Silicio,Sodio Total (Na),Sodio (Na),Carbono Orgánico Oxidable,Carbono Orgánico Oxidable Total,Relación Carbono Nitrógeno,Cenizas,Humedad,Humedad Máxima,pH en Solución al 10%,Conductividad Eléctrica (1:100),Conductividad Eléctrica (dS/m),Densidad,Densidad Aparente,Capacidad de Intercambio Catiónico,Capacidad de Retención de Humedad,Solubilidad,Solubilidad en agua a 20°C,Residuo Insoluble en ácido
9386,FERTILIZANTE 25-4-24,23/MAY/2014,Fertilizante compuesto mezclado NPK — Granulado (aplicación al suelo),"Urea, fosfato diamónico y cloruro de potasio.",,Metales pesados: Por debajo de los límites permitidos en la norma ICA.,Nitrógeno Total (N): 25.00 %; Nitrógeno Amoniacal (N): 23.50 %; Nitrógeno Ureico (N): 1.50 %; Fósforo Asimilable (P₂O₅): 4.00 %; Potasio Soluble en Agua (K₂O): 24.00 %; Humedad Máxima: 2.00 %,25.00 %,23.50 %,,1.50 %,,,,4.00 %,,,,24.00 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00 %,,,,,,,,,,
13446,RAIFOS 20,17/NOV/2023,Fertilizante orgánico mineral — Granulado (aplicación al suelo),"Fosfato monoamónico, roca fosfórica, carbonato de calcio, kieserita y Biorganik (carbono orgánico), N, P₂O₅, K₂O, CaO, MgO, S, SiO₂",,Enterobacterias: < 10 UFC/g; Salmonella: Ausencia/25 g; Coliformes Totales: < 1.8 NMP/g; Huevos de Helmintos: < 1 Huevo/4g ST; Metales pesados: Por debajo de los límites permitidos en la norma ICA.,Fósforo Total (P₂O₅): 20.31 %; Fósforo Asimilable (P₂O₅): 5.47 %; Fósforo de Lenta Asimilación (P₂O₅)***: 14.84 %; Calcio Total (CaO)***: 23.15 %; Calcio Soluble en Agua (CaO)***: 0.47 %; Magnesio Total (MgO): 1.56 %; Magnesio Soluble en Agua (MgO): 0.91 %; Azufre Total (S): 1.10 %; Azufre Soluble en Agua (S): 1.03 %; Silicio Total (SiO₂)***: 21.32 %; Silicio Soluble en Agua (SiO₂)***: 0.02 %; Sodio Total (Na): 0.19 %; Carbono Orgánico Oxidable: 5.06 %; Residuo Insoluble en ácido: 22.29 %; Humedad Máxima: 2.29 %,,,,,,20.31 %,,5.47 %,,14.84 %,,,,,23.15 %,,0.47 %,,1.56 %,,0.91 %,,,,1.10 %,1.03 %,,,,,,,,,,,,,,,,,,,21.32 %,,,0.02 %,,0.19 %,,5.06 %,,,,,2.29 %,,,,,,,,,,22.29 %
13702,ZUELOCA,17/JUN/2024,Fertilizante simple K — Granulado (aplicación al suelo),"Sulfato de calcio, cal dolomita, cloruro de potasio, kieserita, silicato de magnesio, ulexita",Caolín,Metales pesados: Por debajo de los límites permitidos en la norma ICA.,Potasio Soluble en Agua (K₂O): 3.00 %; Calcio Total (CaO)*: 27.22 %; Calcio Soluble en Agua (CaO): 4.59 %; Magnesio Total (MgO)*: 11.54 %; Magnesio Soluble en Agua (MgO): 1.61 %; Azufre Total (S): 3.61 %; Azufre Soluble en Agua (S): 3.06 %; Boro (B): 0.19 %; Silicio Total (SiO₂)*: 3.47 %; Silicio Soluble en Agua (SiO₂): 0.36 %; Humedad Máxima: 1.50 %,,,,,,,,,,,,3.00 %,,27.22 %,,4.59 %,,,,11.54 %,1.61 %,,,,3.61 %,3.06 %,,,0.19 %,,,,,,,,,,,,,,,3.47 %,,,0.36 %,,,,,,,,,,1.50 %,,,,,,,,,,
13749,SULFAK-50,17/JUL/2024,Fertilizante compuesto mezclado PK — Polvo soluble (aplicación al suelo),"Cloruro de potasio, fosfato monopotásico, sulfato de potasio",,Metales pesados: Por debajo de los límites permitidos en la norma ICA.,Fósforo Asimilable (P₂O₅): 3.00 %; Potasio Soluble en Agua (K₂O): 49.50 %; Azufre Total (S): 14.00 %; Humedad Máxima: 0.16 %,,,,,,,,3.00 %,,,,49.50 %,,,,,,,,,,,,,14.00 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16 %,,,,,,,,,,
13751,SOLURAIFOS,17/JUL/2024,Fertilizante compuesto mezclado NPK — Polvo soluble (aplicación al suelo),"Cloruro de potasio, fosfato de amonio",Dextrosa monohidratada,Metales pesados: Por debajo de los límites permitidos en la norma ICA.,Nitrógeno Total (N): 10.00 %; Nitrógeno Amoniacal (N): 10.00 %; Fósforo Asimilable (P₂O₅): 50.00 %; Potasio Soluble en Agua (K₂O): 10.00 %; Humedad Máxima: 0.13 %,10.00 %,10.00 %,,,,,,50.00 %,,,,10.00 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13 %,,,,,,,,,,
13790,PRODUCCION 17,12/AGO/2024,Fertilizante compuesto mezclado NPK — Granulado (aplicación al suelo),"Cloruro de potasio granulado, fosfato diamónico granulado, kieserita granulada, sulfato amónico granulado, urea granulada",Caolín,Metales pesados: Por debajo de los límites permitidos en la norma ICA.,Nitrógeno Total (N): 17.00 %; Nitrógeno Amoniacal (N): 5.00 %; Nitrógeno Ureico (N): 12.00 %; Fósforo Asimilable (P₂O₅): 6.00 %; Potasio Soluble en Agua (K₂O): 16.33 %; Magnesio Soluble en Agua (MgO): 3.50 %; Azufre Total (S): 5.00 %; Humedad Máxima: 1.48 %,17.00 %,5.00 %,,12.00 %,,,,6.00 %,,,,16.33 %,,,,,,,,,3.50 %,,,,5.00 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48 %,,,,,,,,,,
13801,K2K,20/AGO/2024,Fertilizante orgánico mineral — Granulado (aplicación al suelo),"Biorganik (COOT, K, CaO, S, SiO₂), Sulfato de calcio (yeso agrícola), Cloruro de potasio, Sulfato de potasio",Caolín,Enterobacterias: < 10 UFC/g; Salmonella: Ausencia/25 g; Metales pesados: Por debajo de los límites permitidos en la norma ICA.,Potasio Soluble en Agua (K₂O): 28.76 %; Calcio Total (CaO): 2.84 %; Azufre Total (S): 3.42 %; Sodio (Na): 0.31 %; Silicio: 1.00 %; Carbono Orgánico Oxidable: 5.07 %; pH en Solución al 10%: 6.31; Conductividad Eléctrica (1:100): 9.48 dS/m; Humedad Máxima: 1.50 %; Densidad Aparente: 0.77 g/cm³,,,,,,,,,,,,28.76 %,2.84 %,,,,,,,,,,,,3.42 %,,,,,,,,,,,,,,,,,,,,,,,,1.00 %,,0.31 %,5.07 %,,,,,1.50 %,6.31,9.48 dS/m,,,0.77 g/cm³,,,,,
13824,CALFER LLENADO 5-15-45,05/SEP/2024,Fertilizante mezclado NPK — Polvo soluble (aplicación al suelo mediante sistema de fertirriego),"Fosfato dipotásico, Sulfato de potasio, Nitrato de potasio, Sulfato magnesio anhidro, Ácido bórico, Sulfato de cobalto, Sulfato de cobre, Sulfato de hierro, Sulfato de manganeso, Molibdato de sodio 39% Mo, Sulfato de zinc",E.D.T.A. y Dióxido de silicio,Metales pesados: Por debajo de los límites permitidos en la norma ICA.,Nitrógeno Total (N): 5.00 %; Nitrógeno Amoniacal (N): 0.26 %; Nitrógeno Nítrico (N): 4.74 %; Fósforo Asimilable (P₂O₅): 15.00 %; Potasio Soluble en Agua (K₂O): 45.00 %; Magnesio Soluble en Agua (MgO)*: 1.00 %; Azufre Soluble en Agua (S): 4.88 %; Boro Soluble en Agua (B): 0.020 %; Cobalto Soluble en Agua (Co)*: 0.002 %; Cobre Soluble en Agua (Cu)*: 0.020 %; Hierro Soluble en Agua (Fe)*: 0.055 %; Manganeso Soluble en Agua (Mn)*: 0.056 %; Molibdeno Soluble en Agua (Mo): 0.005 %; Zinc Soluble en Agua (Zn)*: 0.020 %; pH en Solución al 10%: 7.46; Conductividad Eléctrica (1:100): 10.04 dS/m; Solubilidad en agua a 20°C: 35.91 g/100 ml H₂O; Humedad Máxima: 1.30 %,5.00 %,0.26 %,4.74 %,,,,,15.00 %,,,,45.00 %,,,,,,,,,,1.00 %,,,,4.88 %,,0.020 %,,,0.002 %,,,0.020 %,,0.055 %,,0.056 %,0.005 %,,0.020 %,,,,,,,,,,,,,,,,1.30 %,7.46,10.04 dS/m,,,,,,,35.91 g/100 ml H₂O,
13859,2-AVANCE 20-31-10,29/SEP/2024,Fertilizante compuesto complejo NPK — Polvo soluble (aplicación al suelo mediante sistema de fertirriego),"Fosfato de amonio (MAP), Sulfato de amonio (SAM), Nitrato de potasio, Sulfato de magnesio anhidro, Ácido bórico, Sulfato de cobalto, Sulfato de cobre, Sulfato ferroso, Sulfato de manganeso, Molibdato de sodio, Sulfato de zinc",EDTA y Dióxido de silicio,Metales pesados: Por debajo de los límites permitidos en la norma ICA.,Nitrógeno Total (N): 19.50 %; Nitrógeno Amoniacal (N): 6.00 %; Nitrógeno Nítrico (N): 3.00 %; Nitrógeno Ureico (N): 10.50 %; Fósforo Asimilable (P₂O₅): 31.00 %; Potasio Soluble en Agua (K₂O): 10.50 %; Magnesio Soluble en Agua (MgO)*: 1.00 %; Azufre Soluble en Agua (S): 1.05 %; Boro Soluble en Agua (B): 0.020 %; Cobalto Soluble en Agua (Co)*: 0.002 %; Cobre Soluble en Agua (Cu)*: 0.030 %; Hierro Soluble en Agua (Fe)*: 0.080 %; Manganeso Soluble en Agua (Mn)*: 0.090 %; Molibdeno Soluble en Agua (Mo): 0.005 %; Silicio Soluble en Agua (SiO₂): 0.30 %; Zinc Soluble en Agua (Zn)*: 0.020 %; pH en Solución al 10%: 4.04; Conductividad Eléctrica (1:100): 5.83 dS/m; Solubilidad en agua a 20°C: 36.43 g/100 ml H₂O; Humedad Máxima: 1.90 %,19.50 %,6.00 %,3.00 %,10.50 %,,,,31.00 %,,,,10.50 %,,,,,,,,,,1.00 %,,,,1.05 %,,0.020 %,,,0.002 %,,,0.030 %,,0.080 %,,0.090 %,0.005 %,,0.020 %,,,,,,0.30 %,,,,,,,,,,1.90 %,4.04,5.83 dS/m,,,,,,,36.43 g/100 ml H₂O,
13860,CALFER MENORES,29/SEP/2024,Fertilizante inorgánico — Polvo soluble (aplicación al suelo mediante sistema de fertirriego),"Sulfato de magnesio anhidro, Ácido bórico, Sulfato de cobalto, Sulfato de cobre, Sulfato de hierro, Sulfato de manganeso, Molibdato de sodio, Sulfato de zinc",EDTA y Dióxido de silicio,Metales pesados: Por debajo de los límites permitidos en la norma ICA.,Magnesio Soluble en Agua (MgO)*: 8.50 %; Azufre Soluble en Agua (S): 15.00 %; Boro Soluble en Agua (B): 1.00 %; Cobalto Soluble en Agua (Co)*: 0.005 %; Cobre Soluble en Agua (Cu)*: 1.50 %; Hierro Soluble en Agua (Fe)*: 4.00 %; Manganeso Soluble en Agua (Mn)*: 4.00 %; Molibdeno Soluble en Agua (Mo): 0.80 %; Zinc Soluble en Agua (Zn)*: 2.50 %; pH en Solución al 10%: 3.78; Conductividad Eléctrica (1:100): 3.42 dS/m; Solubilidad en agua a 20°C: 31.83 g/100 ml H₂O; Humedad Máxima: 3.37 %,,,,,,,,,,,,,,,,,,,,,,8.50 %,,,,15.00 %,,1.00 %,,,0.005 %,,,1.50 %,,4.00 %,,4.00 %,0.80 %,,2.50 %,,,,,,,,,,,,,,,,3.37 %,3.78,3.42 dS/m,,,,,,,31.83 g/100 ml H₂O,
13867,3-PRODUCTOR 7-13-39,02/OCT/2024,Fertilizante compuesto complejo NPK — Polvo soluble (aplicación al suelo),"Sulfato de amonio (SAM), Nitrato de potasio, Fosfato dipotásico (DKP), Sulfato de potasio, Sulfato de magnesio anhidro, Ácido bórico, Sulfato de cobalto, Sulfato de cobre, Sulfato de hierro, Sulfato de manganeso, Molibdato de sodio, Sulfato de zinc",E.D.T.A. y dióxido de silicio,Metales pesados: Por debajo de los límites permitidos en la norma ICA.,Nitrógeno Total (N): 7.00 %; Nitrógeno Amoniacal (N): 1.00 %; Nitrógeno Nítrico (N): 6.00 %; Fósforo Asimilable (P₂O₅): 12.50 %; Potasio Soluble en Agua (K₂O): 39.50 %; Magnesio Soluble en Agua (MgO): 2.00 %; Azufre Soluble en Agua (S): 4.65 %; Boro Soluble en Agua (B): 0.020 %; Cobalto Soluble en Agua (Co): 0.002 %; Cobre Soluble en Agua (Cu): 0.020 %; Hierro Soluble en Agua (Fe): 0.050 %; Manganeso Soluble en Agua (Mn): 0.050 %; Molibdeno Soluble en Agua (Mo): 0.005 %; Zinc Soluble en Agua (Zn): 0.030 %,7.00 %,1.00 %,6.00 %,,,,,12.50 %,,,,39.50 %,,,,,,,,,2.00 %,,,,,4.65 %,,0.020 %,,0.002 %,,,0.020 %,,0.050 %,,0.050 %,,0.005 %,0.030 %,,,,,,,,,,,,,,,,,,,,,,,,,,,
13871,CALFER FLORACIÓN 10-25-11,07/OCT/2024,Fertilizante compuesto complejo NPK — Polvo soluble (aplicación al suelo),"Fosfato de amonio (MAP), Sulfato de amonio (SAM), Nitrato de potasio, Sulfato de magnesio, Ácido bórico, Sulfato de cobalto, Sulfato de cobre, Sulfato de hierro, Sulfato de manganeso, Molibdato de sodio, Dióxido de silicio, Sulfato de zinc",E.D.T.A. y dextrosa monohidratada,Metales pesados: Por debajo de los límites permitidos en la norma ICA.,Nitrógeno Total (N): 10.00 %; Nitrógeno Amoniacal (N): 7.00 %; Nitrógeno Nítrico (N): 3.00 %; Fósforo Asimilable (P₂O₅): 25.00 %; Potasio Soluble en Agua (K₂O): 11.00 %; Magnesio Soluble en Agua (MgO): 1.00 %; Azufre Soluble en Agua (S): 3.23 %; Boro Soluble en Agua (B): 0.020 %; Cobalto Soluble en Agua (Co): 0.002 %; Cobre Soluble en Agua (Cu): 0.020 %; Hierro Soluble en Agua (Fe): 0.050 %; Manganeso Soluble en Agua (Mn): 0.050 %; Molibdeno Soluble en Agua (Mo): 0.005 %; Silicio Soluble en Agua (SiO₂): 0.620 %; Zinc Soluble en Agua (Zn): 0.020 %,10.00 %,7.00 %,3.00 %,,,,,25.00 %,,,,11.00 %,,,,,,,,,1.00 %,,,,,3.23 %,,0.020 %,,0.002 %,,,0.020 %,,0.050 %,,0.050 %,,0.005 %,0.020 %,,,,,,,0.620 %,,,,,,,,,,,,,,,,,,,,
13872,1-CRECIMIENTO 30-10-10,07/OCT/2024,Fertilizante compuesto complejo NPK — Polvo soluble (aplicación al suelo),"Urea, Fosfato de amonio (MAP), Sulfato de amonio, Nitrato de potasio, Sulfato de magnesio, Ácido bórico, Sulfato de cobalto, Sulfato de cobre, Sulfato de hierro, Sulfato de manganeso, Molibdato de sodio, Sulfato de zinc",E.D.T.A. y dióxido de silicio,Metales pesados: Por debajo de los límites permitidos en la norma ICA.,Nitrógeno Total (N): 30.00 %; Nitrógeno Amoniacal (N): 2.00 %; Nitrógeno Nítrico (N): 3.00 %; Nitrógeno Ureico (N): 25.00 %; Fósforo Asimilable (P₂O₅): 10.50 %; Potasio Soluble en Agua (K₂O): 10.50 %; Magnesio Soluble en Agua (MgO): 0.60 %; Azufre Soluble en Agua (S): 0.58 %; Boro Soluble en Agua (B): 0.020 %; Cobalto Soluble en Agua (Co): 0.003 %; Cobre Soluble en Agua (Cu): 0.020 %; Hierro Soluble en Agua (Fe): 0.050 %; Manganeso Soluble en Agua (Mn): 0.050 %; Molibdeno Soluble en Agua (Mo): 0.005 %; Zinc Soluble en Agua (Zn): 0.020 %,30.00 %,2.00 %,3.00 %,25.00 %,,,,10.50 %,,,,10.50 %,,,,,,,,,0.60 %,,,,,0.58 %,,0.020 %,,0.003 %,,,0.020 %,,0.050 %,,0.050 %,,0.005 %,0.020 %,,,,,,,,,,,,,,,,,,,,,,,,,,,
13883,MAGNE 3,16/OCT/2024,Fertilizante simple K — Granulado (aplicación al suelo),"Cal dolomita, Cloruro de potasio, Kieserita, Óxido de magnesio, Silicato de magnesio",Caolín,Metales pesados: Por debajo de los límites permitidos en la norma ICA.,Potasio Soluble en Agua (K₂O): 3.00 %; Calcio Total (CaO): 4.50 %; Magnesio Total (MgO): 27.00 %; Azufre Total (S): 5.50 %; Silicio Total (SiO₂): 13.00 %,,,,,,,,,,,,3.00 %,4.50 %,,,,,,27.00 %,,,,,,5.50 %,,,,,,,,,,,,,,,,,,13.00 %,,,,,,,,,,,,,,,,,,,,,,,,
