72-MAP-EVOAGRO 5-G,72,MAP,EVOAGRO,5,MP,G
72-MAP-NITROFERT 4-G,72,MAP,NITROFERT,4,MP,G
72-MAP-NUTRICION PLANTAS 1-G,72,MAP,NUTRICION PLANTAS,1,MP,G
72-MAP-PRECISAGRO 3-G,72,MAP,PRECISAGRO,3,MP,G
193-MAP IMPORTADO- 3-G,193,MAP IMPORTADO,,3,MP,G
193-MAP STD-PRECISAGRO 1-P,193,MAP STD,PRECISAGRO,1,MP,P
193-MAP STD-SQM 2-P,193,MAP STD,SQM,2,MP,P
178-MKP-PRECISAGRO 1-C,178,MKP,PRECISAGRO,1,MP,C
354-NITRABOR- 1-G,354,NITRABOR,,1,MP,G
302-NUCLEO HIERRO-CAMPOFERT 1-G,302,NUCLEO HIERRO,CAMPOFERT,1,MP,G
57-OXIDO MAGNESIO-ATEQUIMICOS 1-P,57,OXIDO MAGNESIO,ATEQUIMICOS,1,MP,P
56-OXIDO ZINC- 1-,56,OXIDO ZINC,,1,MP,
55-OXIDO ZINC 70- 1-,55,OXIDO ZINC 70,,1,MP,
349-PANTEKALI-DISAN 2-,349,PANTEKALI,DISAN,2,MP,
349-PANTEKALI-PRECISAGRO 1-,349,PANTEKALI,PRECISAGRO,1,MP,
470-POLVILLO KCL GRANULADO- 1-,470,POLVILLO KCL GRANULADO,,1,MP,
448-PRODUCTO A-CALFERQUIM 1-P,448,PRODUCTO A,CALFERQUIM,1,MP,P
449-PRODUCTO A-CALFERQUIM 2-P,449,PRODUCTO A,CALFERQUIM,2,MP,P
31-ROCA FOSFÓRICA-FOSFATOS HUILA 1-P,31,ROCA FOSFÓRICA,FOSFATOS HUILA,1,MP,P
832-ROCA FOSFORICA-24-PRACO 1-P,832,ROCA FOSFORICA-24,PRACO,1,MP,P
290-ROCA FOSFORICA-26-PRACO 1-P,290,ROCA FOSFORICA-26,PRACO,1,MP,P
34-ROCA FOSFÓRICA-28-PRACO 1-P,34,ROCA FOSFÓRICA-28,PRACO,1,MP,P
681-ROCA FOSFORICA-30- 1-P,681,ROCA FOSFORICA-30,,1,MP,P
32-SAM-CALFERQUIM -g,32,SAM,CALFERQUIM,,MP,g
32-SAM-CALFERQUIM 4-G,32,SAM,CALFERQUIM,4,MP,G
32-SAM-EVOAGRO 3-G,32,SAM,EVOAGRO,3,MP,G
32-SAM-NUTRICION PLANTAS 1-G,32,SAM,NUTRICION PLANTAS,1,MP,G
32-SAM-PRECISAGRO 2-G,32,SAM,PRECISAGRO,2,MP,G
40-SAM STD- 1-P,40,SAM STD,,1,MP,P
171-SILICATO HIERRO-HYM 1-P,171,SILICATO HIERRO,HYM,1,MP,P
274-SILICATO MAGNESIO-JULIAN SALDARRIAGA 1-P,274,SILICATO MAGNESIO,JULIAN SALDARRIAGA,1,MP,P
274-SILICATO MAGNESIO-AGROINDUSTRIAL 2-P,274,SILICATO MAGNESIO,AGROINDUSTRIAL,2,MP,P
37-SILICATO SODIO- 1-P,37,SILICATO SODIO,,1,MP,P
5-SULFATO CALCIO-AGROINSUMOS 2-P,5,SULFATO CALCIO,AGROINSUMOS,2,MP,P
5-SULFATO CALCIO-ANIBAL ARANGO 1-P,5,SULFATO CALCIO,ANIBAL ARANGO,1,MP,P
505-SULFATO CALCIO SUCROAL- 1-P,505,SULFATO CALCIO SUCROAL,,1,MP,P
831-SULFATO COBRE- 1-P,831,SULFATO COBRE,,1,MP,P
30-SULFATO COBRE 22- 1-P,30,SULFATO COBRE 22,,1,MP,P
173-SULFATO COBRE 25- 1-P,173,SULFATO COBRE 25,,1,MP,P
23-SULFATO DE ZINC 35%-IMPORTADO 2-P,23,SULFATO DE ZINC 35%,IMPORTADO,2,MP,P
28-SULFATO HIERRO- 1-P,28,SULFATO HIERRO,,1,MP,P
425-SULFATO MANGANESO- 1-P,425,SULFATO MANGANESO,,1,MP,P
167-SULFATO POTASIO-AGRICULTURA Y SERVICIOS 1-G,167,SULFATO POTASIO,AGRICULTURA Y SERVICIOS,1,MP,G
197-SULFATO POTASIO-PRECISAGRO 1-C,197,SULFATO POTASIO,PRECISAGRO,1,MP,C
21-SULFATO ZINC 22 MP- 1-P,21,SULFATO ZINC 22 MP,,1,MP,P
227-SULFATO ZINC 32- 1-P,227,SULFATO ZINC 32,,1,MP,P
23-SULFATO ZINC 35-ATEQUIMICOS 1-P,23,SULFATO ZINC 35,ATEQUIMICOS,1,MP,P
323-SULFATO ZINC 38- 1-P,323,SULFATO ZINC 38,,1,MP,P
16-ULEXITA-ATEQUIMICO 1-P,16,ULEXITA,ATEQUIMICO,1,MP,P
16-ULEXITA-MANUCHAR 2-C,16,ULEXITA,MANUCHAR,2,MP,C
16-ULEXITA-ULEXANDER/IMPORTADA 3-P,16,ULEXITA,ULEXANDER/IMPORTADA,3,MP,P
12-UREA-CIAMSA 7-G,12,UREA,CIAMSA,7,MP,G
12-UREA-DISAN 6-G,12,UREA,DISAN,6,MP,G
12-UREA-EVOAGRO 2-G,12,UREA,EVOAGRO,2,MP,G
12-UREA-EVOAGRO 4-G,12,UREA,EVOAGRO,4,MP,G
12-UREA-NITROFERT 5-G,12,UREA,NITROFERT,5,MP,G
12-UREA-NUTRICION PLANTAS 3-G,12,UREA,NUTRICION PLANTAS,3,MP,G
12-UREA-PRECISAGRO 1-G,12,UREA,PRECISAGRO,1,MP,G
214-VINAZA-MANUELITA 2-L,214,VINAZA,MANUELITA,2,MP,L
214-VINAZA-MASTERCAMPO 1-L,214,VINAZA,MASTERCAMPO,1,MP,L
